days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,3/04/19,Warcraft III: The Frozen Throne,"26,846,160",241500,38299,90,701,6214,55,111.16,2517,483088
3d,3/04/19,Resident Evil 2,"26,829,300",1155180,23840,398,5934,6210,267,23.23,6070,519373
3d,3/04/19,Trials Rising,"25,310,760",251640,32624,99,1266,5858,58,100.58,3167,371128
3d,3/04/19,Poker,"24,460,620",386760,15231,213,1002,5662,89,63.24,6298,471584
3d,3/04/19,World of Tanks,"23,483,280",836340,18451,360,2766,5435,193,28.08,5761,721783
3d,3/04/19,Slots,"23,082,600",234600,16860,94,549,5343,54,98.39,4087,214706
3d,3/04/19,Talk Shows & Podcasts,"23,020,020",450120,24145,159,2622,5328,104,51.14,6143,764472
3d,3/04/19,Path of Exile,"22,215,120",373080,9209,130,1197,5142,86,59.55,3206,403890
3d,3/04/19,Black Desert Online,"20,473,980",865080,8983,256,2472,4739,200,23.67,5746,478517
3d,3/04/19,Tekken 7,"20,251,620",352980,22975,158,2222,4687,81,57.37,4473,452278
3d,3/04/19,Dead or Alive 6,"19,378,560",318840,30823,139,1487,4485,73,60.78,2914,361296
3d,3/04/19,Dungeons & Dragons,"16,598,940",311760,55583,221,1237,3842,72,53.24,3402,187979
3d,3/04/19,Destiny 2,"15,235,920",1566480,6005,600,6370,3526,362,9.73,7128,208642
3d,3/04/19,ASMR,"15,116,520",211080,8230,69,322,3499,48,71.62,4370,184292
3d,3/04/19,Escape From Tarkov,"14,624,460",949140,7240,334,2833,3385,219,15.41,5073,282516
3d,3/04/19,Dark Souls III,"14,605,800",637680,17389,219,2859,3380,147,22.9,2877,290000
3d,3/04/19,NBA 2K19,"13,595,940",1547040,6291,708,7916,3147,358,8.79,10903,114051
3d,3/04/19,Rocket League,"13,284,960",1737300,5696,652,13404,3075,402,7.65,12258,287010
3d,3/04/19,Dawn of Man,"13,045,560",237480,31980,110,915,3019,54,54.93,1020,197938
3d,3/04/19,Smite,"12,866,280",804780,8481,317,3391,2978,186,15.99,3309,186848
3d,3/04/19,Rust,"12,500,940",702540,5803,236,2456,2893,162,17.79,5083,231921
3d,3/05/19,Fortnite,"694,000,000",57230400,424746,22269,241865,160561,13247,12.12,653974,11469939
3d,3/05/19,League of Legends,"636,000,000",11770800,307092,3633,45383,147258,2724,54.05,173541,12800865
3d,3/05/19,Apex Legends,"528,000,000",29928300,228830,9584,134743,122196,6927,17.64,211124,9336865
3d,3/05/19,Counter-Strike: Global Offensive,"485,000,000",5395500,833440,2123,28929,112205,1248,89.84,158568,10846657
3d,3/05/19,Just Chatting,"373,000,000",5113140,211835,1586,31611,86259,1183,72.88,182546,10514114
3d,3/05/19,Overwatch,"286,000,000",5262420,195771,1715,26138,66178,1218,54.33,48593,4019135
3d,3/05/19,Dota 2,"274,000,000",3619860,116041,1387,12347,63526,837,75.81,50844,4887692
3d,3/05/19,Hearthstone,"138,000,000",766560,79114,289,3599,31903,177,179.8,17072,2734377
3d,3/05/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"111,000,000",4853580,65609,1503,17784,25676,1123,22.85,58841,2973479
3d,3/05/19,Grand Theft Auto V,"98,369,760",2614020,61371,1131,10768,22770,605,37.63,46902,1686205
3d,3/05/19,World of Warcraft,"89,188,920",4231680,50468,2393,13886,20645,979,21.08,21880,2378051
3d,3/05/19,StarCraft II,"68,856,660",440700,69828,150,1730,15939,102,156.24,10583,1827166
3d,3/05/19,Call of Duty: Black Ops 4,"56,209,980",5655540,76053,2205,23991,13011,1309,9.94,29169,955508
3d,3/05/19,FIFA 19,"52,604,880",1712580,35941,845,9483,12177,396,30.72,24672,717239
3d,3/05/19,Sea of Thieves,"50,481,480",1184940,46935,454,4254,11685,274,42.6,11567,574060
3d,3/05/19,Old School RuneScape,"49,048,740",770760,31137,271,2735,11353,178,63.64,14854,542047
3d,3/05/19,Dead by Daylight,"48,307,440",2243760,31416,721,9766,11182,519,21.53,15941,704540
3d,3/05/19,Always On,"42,915,720",60300,20304,16,18,9934,13,711.7,7796,2108623
3d,3/05/19,Pogostuck: Rage With Your Friends,"42,674,160",102240,56700,46,551,9878,23,417.39,5065,543938
3d,3/05/19,Tom Clancy's Rainbow Six: Siege,"40,432,920",4760820,17557,1714,25810,9359,1102,8.49,35515,719109
3d,3/05/19,Tom Clancy's The Division 2,"40,040,940",2488260,30966,1335,12908,9268,575,16.09,11915,1280377
3d,3/05/19,Magic: The Gathering,"38,045,340",505680,22601,175,2097,8806,117,75.24,10482,533497
3d,3/05/19,Super Smash Bros. Ultimate,"37,137,060",798420,37941,439,3652,8596,184,46.51,18592,487161
3d,3/05/19,Minecraft,"35,498,280",2507520,21860,921,11909,8217,580,14.16,27777,728009
3d,3/05/19,Music & Performing Arts,"32,001,420",1379820,13167,403,3375,7407,319,23.19,13215,477638
3d,3/05/19,Games + Demos,"31,053,180",272280,22592,96,1403,7188,63,114.05,2783,530735
3d,3/05/19,Art,"29,758,920",1559100,13268,533,7041,6888,360,19.09,17521,626457
3d,3/05/19,Slots,"27,943,320",231000,23150,93,530,6468,53,120.97,4925,286666
3d,3/05/19,Anthem,"27,169,680",2302080,10440,846,9248,6289,532,11.8,9636,518887
3d,3/05/19,Poker,"26,802,240",392760,15231,213,979,6204,90,68.24,6611,465795
3d,3/05/19,World of Tanks,"24,975,720",821940,18451,360,2719,5781,190,30.39,5998,702231
3d,3/05/19,Warcraft III: The Frozen Throne,"24,355,020",246660,38299,90,720,5637,57,98.74,2441,373308
3d,3/05/19,Talk Shows & Podcasts,"24,320,700",440820,27862,159,2562,5629,102,55.17,6850,733502
3d,3/05/19,Path of Exile,"23,479,680",358320,9815,127,1189,5435,82,65.53,3672,429595
3d,3/05/19,Trials Rising,"23,421,600",228300,32624,93,1198,5421,52,102.59,3103,385027
3d,3/05/19,Resident Evil 2,"21,529,860",1121820,23840,398,5707,4983,259,19.19,7047,380187
3d,3/05/19,Black Desert Online,"20,542,860",877500,8983,256,2603,4755,203,23.41,5217,464908
3d,3/05/19,Subnautica,"20,254,620",302400,25455,122,1391,4688,70,66.98,2420,263879
3d,3/05/19,Dead or Alive 6,"16,516,380",284880,30823,139,1351,3823,65,57.98,2628,269436
3d,3/05/19,Tekken 7,"16,074,180",310800,22975,109,1969,3720,71,51.72,3908,414349
3d,3/05/19,ASMR,"15,597,240",209040,8230,68,310,3610,48,74.61,5474,203607
